"Sexe","Contrat","Durée hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Ancienneté_an","Service","Work_accident","Niveau de satisfaction"
"H","CDI",35,9999.3833,27,0,0,17.8,"Marketing","Non",34
"H","CDI",35,9978.15,34,0,0,13,"Compta Finances","Non",78
"H","CDI",35,9940.2333,24,0,0,22.7,"Marketing","Non",45
"H","CDI",35,9928.1,27,1,1,10,"RH","Non",58
"F","CDI",35,9873.5,13,0,0,22.5,"Consultant","Non",60
"H","CDI",35,9785.5333,28,0,0,17.2,"Commercial","Oui",40
"F","CDI",35,9782.5,38,0,0,6.3,"Consultant","Non",69
"F","CDI",35,9777.95,4,1,0,10.5,"Commercial","Oui",13
"H","CDI",35,9737,12,1,1,7.4,"Consultant","Non",72
"H","CDI",35,9642.9667,17,0,0,19,"RH","Non",3
"H","CDI",35,9635.3833,19,1,0,6.4,"RH","Oui",32
"H","CDI",35,9573.2,5,1,0,7.9,"Informatique","Non",77
"H","CDI",35,9573.2,7,0,0,18.7,"Commercial","Oui",48
"F","CDI",35,9555,20,1,0,13.9,"Commercial","Non",15
"F","CDI",35,9497.3667,17,1,0,13.8,"Commercial","Non",81
"H","CDI",35,9488.2667,38,1,1,14.9,"Commercial","Non",52
"H","CDI",35,9447.3167,0,1,0,21.1,"Consultant","Non",1
"F","CDI",35,9426.0833,24,1,0,23.8,"Consultant","Non",9
"H","CDI",35,9400.3,3,1,0,20.1,"Consultant","Non",25
"F","CDI",35,9366.9333,8,1,1,9.1,"Informatique","Non",74
"F","CDI",35,9256.2167,1,1,0,7.4,"Compta Finances","Non",84
"F","CDI",35,9218.3,4,0,0,6.7,"Marketing","Non",69
"F","CDI",35,9162.1833,17,1,0,9.1,"Consultant","Non",7
"H","CDI",35,9096.9667,21,0,0,5.8,"Informatique","Oui",8
"H","CDI",35,9069.6667,1,0,0,18.4,"Commercial","Non",11
"H","CDI",35,9039.3333,20,1,1,10.7,"RH","Non",1
"F","CDI",32,8860.8,19,1,0,11.9,"RH","Non",59
"F","CDI",35,8828.5167,17,0,1,10.6,"Commercial","Oui",84
"F","CDI",35,8746.6167,19,0,1,5.2,"RH","Non",62
"H","CDI",35,8716.2833,20,0,0,8.3,"Informatique","Non",93
"H","CDI",35,8714.7667,37,1,0,15.6,"Commercial","Non",80
"H","CDI",35,8696.5667,34,1,0,13.1,"Marketing","Non",89
"H","CDI",35,8696.5667,37,0,0,8.7,"Compta Finances","Non",26
"F","CDI",35,8655.6167,26,1,0,15.8,"Compta Finances","Non",25
"F","CDI",35,8629.8333,3,0,0,19.4,"Commercial","Non",44
"H","CDI",35,8563.1,7,0,0,21.5,"RH","Non",87
"H","CDI",35,8458.45,1,0,0,15.2,"Informatique","Non",35
"H","CDI",35,8428.1167,18,1,0,20,"Commercial","Oui",44
"F","CDI",35,8422.05,38,0,1,11.7,"Compta Finances","Non",96
"H","CDI",35,8337.1167,16,0,1,6.3,"Commercial","Oui",14
"F","CDI",35,8332.5667,12,0,0,5.2,"Compta Finances","Non",42
"F","CDI",35,8328.0167,14,1,0,10.2,"Compta Finances","Non",60
"H","CDI",35,8277.9667,10,0,0,20.4,"RH","Non",78
"F","CDI",35,8218.8167,14,0,0,16.3,"Compta Finances","Non",32
"F","CDI",35,8126.3,36,1,0,18.2,"Commercial","Oui",54
"F","CDI",35,8108.1,38,0,0,11.7,"RH","Non",69
"H","CDI",35,8073.2167,38,1,1,15.7,"Compta Finances","Non",70
"F","CDI",35,8056.5333,14,0,0,21.8,"Marketing","Non",75
"F","CDI",35,8056.5333,13,0,1,10.3,"Compta Finances","Non",32
"F","CDI",35,7942.7833,38,1,0,10.8,"Commercial","Non",78
"H","CDI",35,7927.6167,32,1,0,10,"Commercial","Oui",42
"F","CDI",35,7898.8,35,0,0,23,"Compta Finances","Oui",65
"F","CDI",35,7889.7,27,0,0,16.5,"Compta Finances","Non",53
"F","CDI",35,7877.5667,36,1,0,22.2,"RH","Non",63
"H","CDI",35,7753.2,21,1,0,15.2,"Compta Finances","Non",96
"H","CDI",35,7713.7667,23,1,0,14.3,"Commercial","Oui",31
"H","CDI",35,7710.7333,27,0,0,7.5,"RH","Non",86
"F","CDI",35,7687.9833,9,0,0,17.3,"RH","Non",47
"F","CDI",35,7672.8167,37,1,1,3.8,"Consultant","Non",77
"H","CDI",35,7654.6167,5,1,0,23.3,"Informatique","Non",54
"F","CDI",35,7637.9333,21,1,0,8.6,"RH","Non",84
"H","CDI",35,7637.9333,27,0,0,13.8,"Marketing","Non",59
"F","CDI",35,7601.5333,19,1,1,12.5,"Compta Finances","Non",55
"F","CDI",35,7496.8833,6,1,0,21.9,"Commercial","Non",77
"F","CDI",35,7377.0667,17,1,0,6,"Compta Finances","Non",70
"H","CDI",28,7358.8667,31,1,0,9.9,"Marketing","Non",17
"F","CDI",35,7308.8167,12,0,0,20.2,"Consultant","Non",24
"F","CDI",35,7304.2667,17,1,0,7.9,"Consultant","Non",34
"H","CDI",28,7269.08,7,1,1,9.2,"Consultant","Non",5
"H","CDI",35,7264.8333,31,0,0,15.6,"Marketing","Non",64
"H","CDI",35,7263.3167,30,1,1,12.7,"RH","Non",84
"H","CDI",35,7185.9667,7,1,0,5.5,"Compta Finances","Non",66
"H","CDI",35,7184.45,37,1,1,24.1,"Marketing","Non",54
"H","CDI",35,7178.3833,38,1,0,6.5,"Consultant","Non",89
"F","CDI",35,7157.15,3,0,0,3.7,"RH","Non",6
"F","CDI",35,7148.05,21,1,0,7.9,"RH","Oui",42
"H","CDI",35,7098,1,1,0,23.2,"Commercial","Oui",39
"H","CDI",35,7081.3167,26,0,0,20,"Informatique","Non",31
"H","CDI",35,6973.6333,31,0,1,19.1,"Consultant","Non",99
"F","CDI",35,6902.35,17,0,1,17.3,"Commercial","Non",21
"H","CDI",24,6842.16,21,1,0,23.9,"Marketing","Non",1
"F","CDI",35,6838.65,5,1,0,3,"Commercial","Oui",41
"F","CDI",35,6818.9333,14,1,0,24.3,"Commercial","Non",47
"F","CDI",32,6743.36,4,0,0,22.7,"Compta Finances","Non",6
"F","CDI",35,6591.4333,19,0,0,20.2,"Consultant","Oui",63
"F","CDI",35,6583.85,13,1,0,12.6,"Marketing","Non",67
"H","CDI",35,6526.2167,36,0,1,22.8,"Informatique","Non",4
